Index,Time,((pitch_motor)->motor_measure).total_angle,((pitch_motor)->motor_controller).pid_ref
0,0.000000,32.5192986,26.3670006
1,0.010339,32.5192986,26.3670006
2,0.020189,32.5192986,26.3670006
3,0.030455,32.5192986,26.3670006
4,0.040306,32.5192986,26.3670006
5,0.050206,32.5192986,26.3670006
6,0.060131,32.5192986,26.3670006
7,0.070242,32.5632439,26.3670006
8,0.080492,32.5192986,26.3670006
9,0.090342,32.5192986,26.3670006
10,0.100192,32.5192986,26.3670006
11,0.110269,32.5632439,26.3670006
12,0.120507,32.5192986,26.3670006
13,0.130467,32.5192986,26.3670006
14,0.140371,32.5192986,26.3670006
15,0.150261,32.5192986,26.3670006
16,0.160145,32.5192986,26.3670006
17,0.170229,32.5192986,26.3670006
18,0.180497,32.5192986,26.3670006
19,0.190599,32.5192986,26.3670006
20,0.200314,32.5192986,26.3670006
21,0.210159,32.5192986,26.3670006
22,0.220238,32.5192986,26.3670006
23,0.230089,32.5192986,26.3670006
24,0.240376,32.5192986,26.3670006
25,0.250469,32.5192986,26.3670006
26,0.260189,32.5192986,26.3670006
27,0.270478,32.5192986,26.3670006
28,0.280140,32.5192986,26.3670006
29,0.290429,32.5192986,26.3670006
30,0.300260,32.5632439,26.3670006
31,0.310341,32.5192986,26.3670006
32,0.320479,32.5632439,26.3670006
33,0.330381,32.5192986,26.3670006
34,0.340087,32.5192986,26.3670006
35,0.350356,32.5192986,26.3670006
36,0.360208,32.5192986,26.3670006
37,0.370281,32.5192986,26.3670006
38,0.380293,32.5632439,26.3670006
39,0.390371,32.5192986,26.3670006
40,0.400224,32.5192986,26.3670006
41,0.410502,32.5192986,26.3670006
42,0.420362,32.5632439,26.3670006
43,0.430320,32.5192986,26.3670006
44,0.440234,32.5192986,26.3670006
45,0.450309,32.5192986,26.3670006
46,0.460141,32.5192986,26.3670006
47,0.470400,32.5192986,26.3670006
48,0.480256,32.5192986,26.3670006
49,0.490503,32.5192986,26.3670006
50,0.500266,32.5192986,26.3670006
51,0.510110,32.5192986,26.3670006
52,0.520394,32.5192986,26.3670006
53,0.530229,32.5192986,26.3670006
54,0.540499,32.5192986,26.3670006
55,0.550382,32.5192986,26.3670006
56,0.560183,32.5192986,26.3670006
57,0.570446,32.5192986,26.3670006
58,0.580293,32.5192986,26.3670006
59,0.590139,32.5192986,26.3670006
60,0.600429,32.5192986,26.3670006
61,0.610297,32.5192986,26.3670006
62,0.620222,32.5192986,26.3670006
63,0.630347,32.5192986,26.3670006
64,0.640194,32.5192986,26.3670006
65,0.650457,32.5192986,26.3670006
66,0.660311,32.5192986,26.3670006
67,0.670377,32.5632439,26.3670006
68,0.680251,32.5192986,26.3670006
69,0.690209,32.5192986,26.3670006
70,0.700490,32.5192986,26.3670006
71,0.710335,32.5192986,26.3670006
72,0.720181,32.5192986,26.3670006
73,0.730275,32.5192986,26.3670006
